Sample in Buffer,Sample in Window,TRIGGER,cpu/if_pc/ex_alu/data1[31:0],cpu/register_file/_register_reg[31]_31[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
648,648,0,bfae0010,bfc00aa8
649,649,0,bfaffff0,bfc00aa8
650,650,0,00000000,bfc00aa8
651,651,0,00000000,bfc00aa8
652,652,0,d1b00f90,bfc00aa8
653,653,0,ffffff01,bfc00aa8
654,654,0,ffff4051,bfc00aa8
655,655,0,bfae0010,bfc00aa8
656,656,0,bfaffff0,bfc00aa8
657,657,0,00000000,bfc00aa8
658,658,0,00000000,bfc00aa8
659,659,0,d1b00f91,bfc00aa8
660,660,0,ffffff01,bfc00aa8
661,661,0,ffff4051,bfc00aa8
662,662,0,bfae0010,bfc00aa8
663,663,0,bfaffff0,bfc00aa8
664,664,0,00000000,bfc00aa8
665,665,0,00000000,bfc00aa8
666,666,0,d1b00f92,bfc00aa8
667,667,0,ffffff01,bfc00aa8
668,668,0,ffff4051,bfc00aa8
669,669,0,bfae0010,bfc00aa8
